total_trans,total_success_trans,merchant,payment_method,payment_gateway,sub_type,date,hour_start,bank
2,1,zivame,NB,PAYU,,2/14/2020,6,NB_CITI
1,0,urbanclap,NB,PAYTM,,2/14/2020,6,NB_SYNB
5,1,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2/14/2020,11,AIRTELMONEY
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,12,THE SATARA SAHAKARI BANK LTD MUMBAI
1,1,fanfight,CARD,RAZORPAY,,2/14/2020,6,DCB
3,3,fanfight,CARD,GOCASHFREE,,2/14/2020,7,SARVA HARYANA GRAMIN BANK
2,1,fanfight,CARD,GOCASHFREE,,2/14/2020,9,Abhyudaya Cooperative Bank
1,1,zivame,CARD,PAYU,,2/14/2020,9,South Indian Bank
2,2,purplle.com,CARD,PAYTM,,2/14/2020,7,Abhyudaya Cooperative Bank
1,1,drivezy,CARD,GOCASHFREE,,2/14/2020,2,Karur Vysya Bank
1,0,urbanclap,NB,PAYTM,,2/14/2020,3,NB_CSB
6,0,fanfight,NB,RAZORPAY,,2/14/2020,9,NB_INDB
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,2,JANATA SAHAKARI BANK LTD PUNE
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,3,NB_IDFC
1,0,zivame,NB,PAYU,,2/14/2020,12,NB_KARN
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,9,MATTELF.C.U.
4,1,fanfight,CARD,RAZORPAY,,2/14/2020,5,Karur Vysya Bank
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,BARODA RAJASTHAN KSHETRIYA GRAMIN BANK
1,0,pharmeasytech,NB,PAYU,,2/14/2020,7,NB_CUB
1,1,medlife_prod,CARD,TPSL,,2/14/2020,8,Punjab and Sind Bank
2,1,zivame,CARD,HDFC,,2/14/2020,8,City Union Bank
3,1,fanfight,CARD,RAZORPAY,,2/14/2020,7,SOUTHCAROLINAF.C.U.
1,0,pharmeasytech,CARD,PAYU,,2/14/2020,11,GP Parsik Bank
2,0,fanfight,NB,RAZORPAY,,2/14/2020,4,NB_UNIB
1,1,countrydelight,CARD,PAYU,,2/14/2020,12,FIRSTDUPAGEBANK
3,3,fanfight,NB,PAYTM,,2/14/2020,12,NB_IDFC
1,1,medlife_prod,CARD,TPSL,,2/14/2020,4,THE KALUPUR COMMERCIAL CO OP BANK LTD
1,1,drivezy,CONSUMER_FINANCE,EPAYLATER,,2/14/2020,11,EPAYLATER
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,THE ALMORA URBAN COOPERATIVE BANK
1,1,zivame,NB,PAYU,,2/14/2020,17,NB_IOB
5,0,fanfight,CARD,GOCASHFREE,,2/14/2020,13,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR
2,0,medlife_prod,CARD,TPSL,,2/14/2020,16,South Indian Bank
9,0,fanfight,NB,RAZORPAY,,2/14/2020,15,NB_INDB
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,15,THE MOGAVEERA COOP BANK LTD
1,1,medlife_prod,CARD,TPSL,,2/14/2020,14,THE MOGAVEERA COOP BANK LTD
1,0,purplle.com,NB,PAYU,,2/14/2020,13,NB_FED
1,0,urbanclap,CARD,PAYTM,,2/14/2020,13,CANADIANIMPERIALBANKOFCOMMERCE
5,0,fanfight,NB,RAZORPAY,,2/14/2020,13,NB_ALLB
3,0,fanfight,CARD,GOCASHFREE,,2/14/2020,15,PURVANCHAL GRAMIN BANK
4,0,fanfight,CARD,RAZORPAY,,2/14/2020,15,COMMUNITYBANK
1,1,countrydelight,CARD,PAYU,,2/14/2020,14,MATTELF.C.U.
3,1,zivame,CARD,HDFC,,2/14/2020,12,COMMUNITYBANK
1,0,urbanclap,NB,PAYTM,,2/14/2020,4,NB_INDUS
5,0,fanfight,NB,RAZORPAY,,2/14/2020,7,NB_UCOB
3,0,medlife_prod,NB,RAZORPAY,,2/14/2020,7,NB_IOB
4,0,zivame,NB,PAYU,,2/14/2020,8,NB_UCOB
4,4,medlife_prod,CARD,TPSL,,2/14/2020,7,IDFC Bank
5,3,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2/14/2020,6,AIRTELMONEY
1,0,medlife_prod,CARD,TPSL,,2/14/2020,4,COMMUNITYBANK
2,0,medlife_prod,CARD,TPSL,,2/14/2020,6,NKGSB COOP BANK LTD
1,1,zivame,CARD,HDFC,,2/14/2020,10,BCCARDCO..LTD.
3,2,fanfight,CARD,GOCASHFREE,,2/14/2020,11,SARVA HARYANA GRAMIN BANK
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,12,RAJKOT NAGARIK SAHAKARI BANK LTD
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,8,South Indian Bank
1,1,urbanclap,CARD,PAYTM,,2/14/2020,4,DCB
3,0,pharmeasytech,CARD,,,2/14/2020,4,Zeta
3,0,fanfight,NB,RAZORPAY,,2/14/2020,7,NB_ANDHRA
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,9,NB_CORP
1,1,medlife_prod,CARD,TPSL,,2/14/2020,10,Saraswat Bank
5,1,pharmeasytech,CARD,PAYU,,2/14/2020,4,IDFC Bank
1,1,medlife_prod,CARD,TPSL,,2/14/2020,6,CREDITLIBANAISS.A.L.
1,1,countrydelight,NB,PAYU,,2/14/2020,12,NB_INDB
2,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2/14/2020,1,AIRTELMONEY
1,0,pharmeasytech,CARD,PAYU,,2/14/2020,1,IDFC Bank
1,0,fanfight,NB,RAZORPAY,,2/14/2020,5,NB_BOBCORP
1,1,zivame,CARD,HDFC,,2/14/2020,5,Punjab and Sind Bank
1,0,zivame,NB,PAYU,,2/14/2020,7,NB_ANDHRA
3,1,zivame,CARD,PAYU,,2/14/2020,9,The Catholic Syrian Bank
1,0,fanfight,NB,RAZORPAY,,2/14/2020,9,NB_OBC
1,1,fanfight,CARD,RAZORPAY,,2/14/2020,4,Tamilnad Mercantile Bank
1,0,urbanclap,NB,PAYTM,,2/14/2020,14,NB_FED
1,1,zivame,CARD,HDFC,,2/14/2020,13,Karur Vysya Bank
2,2,pharmeasytech,CARD,PAYU,,2/14/2020,17,Punjab and Sind Bank
1,0,fanfight,CARD,GOCASHFREE,,2/14/2020,16,BARODA UTTAR PRADESH GRAMIN BANK
3,1,countrydelight,NB,PAYU,,2/14/2020,17,NB_DEUT
2,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,ASSAM COOPERATIVE APEX BANK LTD
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,THE SURAT PEOPLES COOPERATIVE BANK LTD
1,0,pharmeasytech,NB,PAYU,,2/14/2020,15,NB_IOB
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/14/2020,13,PAYZAPP
1,1,zivame,NB,PAYU,,2/14/2020,13,NB_AIRTEL
1,1,drivezy,CARD,GOCASHFREE,,2/14/2020,13,South Indian Bank
1,1,urbanclap,NB,PAYU,,2/14/2020,12,NB_AIRTEL
1,0,fanfight,NB,RAZORPAY,,2/14/2020,14,NB_CORP
2,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/14/2020,18,PAYZAPP
5,2,countrydelight,NB,PAYU,,2/12/2020,6,NB_AIRTEL
3,0,fanfight,CARD,GOCASHFREE,,2/12/2020,13,IDFC Bank
1,0,medlife_prod,NB,RAZORPAY,,2/12/2020,0,NB_SOIB
1,0,medlife_prod,NB,RAZORPAY,,2/12/2020,9,NB_ALLB
3,1,urbanclap,NB,PAYTM,,2/12/2020,9,NB_IDFC
2,0,drivezy,NB,GOCASHFREE,,2/12/2020,9,NB_VJYB
1,1,countrydelight,CARD,PAYU,,2/12/2020,6,Abhyudaya Cooperative Bank
1,1,drivezy,CARD,GOCASHFREE,,2/12/2020,12,MONEYACCESSSERVICE.INC.
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/12/2020,7,JIOMONEY
1,1,urbanclap,CARD,PAYTM,,2/12/2020,5,Kotak Bank
1,1,pharmeasytech,NB,PAYU,,2/12/2020,7,NB_CORP
3,1,drivezy,CARD,GOCASHFREE,,2/12/2020,2,Kotak Bank
1,0,purplle.com,NB,PAYTM,,2/12/2020,6,NB_ALLB
1,1,urbanclap,NB,PAYTM,,2/12/2020,5,NB_CSB
1,1,pharmeasytech,NB,PAYU,,2/12/2020,11,NB_IOB
2,1,drivezy,CARD,GOCASHFREE,,2/12/2020,7,City Union Bank
1,0,countrydelight,NB,PAYU,,2/12/2020,6,NB_ANDHRA
1,0,medlife_prod,CARD,TPSL,,2/12/2020,3,The Shamrao Vithal Cooperative Bank
1,1,countrydelight,NB,PAYU,,2/12/2020,5,NB_IDFC
3,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2/12/2020,11,EPAYLATER
2,1,fanfight,CARD,RAZORPAY,,2/12/2020,2,Karur Vysya Bank
1,0,countrydelight,NB,PAYU,,2/12/2020,18,NB_AIRTEL
2,1,fanfight,CARD,RAZORPAY,,2/12/2020,14,Punjab and Sind Bank
8,0,fanfight,NB,RAZORPAY,,2/12/2020,13,NB_CBI
1,1,drivezy,CARD,GOCASHFREE,,2/12/2020,14,South Indian Bank
4,1,fanfight,NB,RAZORPAY,,2/12/2020,14,NB_SYNB
2,1,urbanclap,CARD,PAYTM,,2/12/2020,16,Kotak Bank
7,0,fanfight,NB,RAZORPAY,,2/12/2020,15,NB_PNBCORP
3,2,pharmeasytech,CARD,PAYU,,2/12/2020,13,IDFC Bank
4,4,fanfight,CARD,RAZORPAY,,2/12/2020,15,Mudra Bank
2,0,zivame,CARD,HDFC,,2/14/2020,5,Mudra Bank
2,2,drivezy,CARD,GOCASHFREE,,2/14/2020,4,South Indian Bank
2,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2/14/2020,10,EPAYLATER
1,0,purplle.com,NB,PAYTM,,2/14/2020,3,NB_ALLB
2,1,urbanclap,NB,PAYTM,,2/14/2020,6,NB_IOB
1,0,drivezy,NB,GOCASHFREE,,2/14/2020,11,NB_VJYB
3,1,zivame,CARD,PAYU,,2/14/2020,6,Abhyudaya Cooperative Bank
1,1,purplle.com,CARD,PAYTM,,2/14/2020,12,South Indian Bank
